date,nav_regular_growth,nav_direct_growth
2023-05-12,14.3030,14.9174
2023-05-15,14.3508,14.9683
2023-05-16,14.3553,14.9733
2023-05-17,14.3309,14.9482
2023-05-18,14.3065,14.9231
2023-05-19,14.3256,14.9434
2023-05-22,14.3603,14.9806
2023-05-23,14.3599,14.9806
2023-05-24,14.3589,14.9798
2023-05-25,14.3712,14.9930
2023-05-26,14.4045,15.0281
2023-05-29,14.4352,15.0611
2023-05-30,14.4595,15.0869
2023-05-31,14.4372,15.0639
2023-06-01,14.4407,15.0679
2023-06-02,14.4727,15.1017
2023-06-05,14.4949,15.1258
2023-06-06,14.5077,15.1395
2023-06-07,14.5441,15.1778
2023-06-08,14.5227,15.1558
2023-06-09,14.5159,15.1491
2023-06-12,14.5320,15.1669
2023-06-13,14.5732,15.2103
2023-06-14,14.5790,15.2166
2023-06-15,14.5655,15.2029
2023-06-16,14.6005,15.2397
2023-06-19,14.5661,15.2048
2023-06-20,14.6008,15.2414
2023-06-21,14.6098,15.2511
2023-06-22,14.5793,15.2197
2023-06-23,14.5677,15.2079
2023-06-26,14.5950,15.2375
2023-06-27,14.6366,15.2813
2023-06-28,14.6889,15.3361
2023-06-30,14.7496,15.4003
2023-07-03,14.7726,15.4253
2023-07-04,14.7784,15.4317
2023-07-05,14.8147,15.4699
2023-07-06,14.8593,15.5169
2023-07-07,14.8056,15.4611
2023-07-10,14.8138,15.4707
2023-07-11,14.8559,15.5150
2023-07-12,14.8395,15.4983
2023-07-13,14.8464,15.5058
2023-07-14,14.8944,15.5563
2023-07-17,14.9220,15.5862
2023-07-18,14.9501,15.6159
2023-07-19,14.9748,15.6421
2023-07-20,15.0235,15.6933
2023-07-21,14.9731,15.6410
2023-07-24,14.9745,15.6435
2023-07-25,14.9783,15.6478
2023-07-26,15.0416,15.7142
2023-07-27,15.0358,15.7085
2023-07-28,15.0441,15.7176
2023-07-31,15.0860,15.7624
2023-08-01,15.0768,15.7532
2023-08-02,15.0151,15.6891
2023-08-03,14.9759,15.6484
2023-08-04,15.0214,15.6963
2023-08-07,15.0499,15.7272
2023-08-08,15.0555,15.7334
2023-08-09,15.0946,15.7747
2023-08-10,15.0738,15.7532
2023-08-11,15.0357,15.7138
2023-08-14,15.0434,15.7229
2023-08-16,15.0620,15.7430
2023-08-17,15.0242,15.7039
2023-08-18,15.0052,15.6844
2023-08-21,15.0344,15.7159
2023-08-22,15.0446,15.7270
2023-08-23,15.0681,15.7519
2023-08-24,15.0562,15.7398
2023-08-25,15.0191,15.7014
2023-08-28,15.0405,15.7248
2023-08-29,15.0549,15.7402
2023-08-30,15.0569,15.7426
2023-08-31,15.0381,15.7234
2023-09-01,15.1080,15.7967
2023-09-04,15.1340,15.8250
2023-09-05,15.1506,15.8427
2023-09-06,15.1587,15.8515
2023-09-07,15.1933,15.8881
2023-09-08,15.2349,15.9319
2023-09-11,15.2754,15.9753
2023-09-12,15.2539,15.9532
2023-09-13,15.2821,15.9830
2023-09-14,15.3148,16.0176
2023-09-15,15.3253,16.0289
2023-09-18,15.3222,16.0267
2023-09-20,15.2735,15.9765
2023-09-21,15.2330,15.9345
2023-09-22,15.2151,15.9162
2023-09-25,15.2026,15.9041
2023-09-26,15.1997,15.9015
2023-09-27,15.2156,15.9184
2023-09-29,15.2439,15.9487
2023-10-03,15.2160,15.9210
2023-10-04,15.1716,15.8749
2023-10-05,15.2007,15.9057
2023-10-06,15.2150,15.9210
2023-10-09,15.1705,15.8755
2023-10-10,15.2235,15.9313
2023-10-11,15.2684,15.9786
