date,nav_regular_growth,nav_direct_growth
2023-03-29,48.8604,52.3695
2023-03-31,49.4917,53.0485
2023-04-03,49.8197,53.4035
2023-04-05,50.1837,53.796
2023-04-06,50.1996,53.8142
2023-04-10,50.5251,54.1678
2023-04-11,50.717,54.3747
2023-04-12,50.6991,54.3566
2023-04-13,50.6089,54.2611
2023-04-17,50.9237,54.6034
2023-04-18,50.9901,54.6757
2023-04-19,50.8489,54.5254
2023-04-20,50.8999,54.5813
2023-04-21,50.9638,54.651
2023-04-24,51.2446,54.9557
2023-04-25,51.1697,54.8765
2023-04-26,51.0715,54.7723
2023-04-27,51.4728,55.2039
2023-04-28,52.2082,55.9938
2023-05-02,52.2529,56.0465
2023-05-03,52.2051,55.9965
2023-05-04,52.2916,56.0905
2023-05-05,52.0345,55.816
2023-05-08,52.3653,56.1744
2023-05-09,52.4639,56.2813
2023-05-10,52.5643,56.3903
2023-05-11,52.8409,56.6883
2023-05-12,52.9196,56.7739
2023-05-15,52.8979,56.7543
2023-05-16,52.8095,56.6606
2023-05-17,52.7534,56.6016
2023-05-18,52.7016,56.5473
2023-05-19,52.9162,56.7787
2023-05-22,53.0925,56.9716
2023-05-23,53.3689,57.2695
2023-05-24,53.3863,57.2893
2023-05-25,53.4597,57.3694
2023-05-26,53.9321,57.8775
2023-05-29,54.3371,58.3159
2023-05-30,54.417,58.403
2023-05-31,54.3537,58.3362
2023-06-01,54.0185,57.9777
2023-06-02,54.2828,58.2626
2023-06-05,54.421,58.4147
2023-06-06,54.5136,58.5154
2023-06-07,54.721,58.7393
2023-06-08,54.1218,58.0973
2023-06-09,53.9844,57.9511
2023-06-12,54.0387,58.0131
2023-06-13,54.5036,58.5135
2023-06-14,54.5652,58.5809
2023-06-15,54.5941,58.6131
2023-06-16,54.9585,59.0057
2023-06-19,54.7382,58.7729
2023-06-20,54.9457,58.997
2023-06-21,55.0353,59.0944
2023-06-22,54.716,58.7528
2023-06-23,54.7519,58.7926
2023-06-26,54.9025,58.9582
2023-06-27,54.807,58.8569
2023-06-28,55.2072,59.2879
2023-06-30,55.5252,59.632
2023-07-03,55.7933,59.9238
2023-07-04,55.8786,60.0167
2023-07-05,56.2048,60.3683
2023-07-06,56.3289,60.5029
2023-07-07,55.9157,60.0604
2023-07-10,55.5548,59.6766
2023-07-11,55.7252,59.8609
2023-07-12,56.0002,60.1577
2023-07-13,56.165,60.336
2023-07-14,56.4427,60.6356
2023-07-17,56.6063,60.8153
2023-07-18,56.644,60.8571
2023-07-19,56.8441,61.0734
2023-07-20,56.8296,61.0591
2023-07-21,56.4459,60.6482
2023-07-24,56.3368,60.5348
2023-07-25,56.5321,60.746
2023-07-26,56.7962,61.0311
2023-07-27,56.7652,60.9991
2023-07-28,57.0603,61.3175
2023-07-31,57.3226,61.6034
2023-08-01,57.318,61.5998
2023-08-02,56.6316,60.8634
2023-08-03,56.4309,60.649
2023-08-04,56.8203,61.0688
2023-08-07,57.0789,61.3507
2023-08-08,56.9261,61.1877
2023-08-09,56.8971,61.1579
2023-08-10,56.7082,60.9562
2023-08-11,56.5814,60.8213
2023-08-14,56.7611,61.0184
2023-08-16,56.6049,60.853
2023-08-17,56.1614,60.3775
2023-08-18,55.8811,60.0775
2023-08-21,56.3431,60.5781
