date,nav_regular_growth,nav_direct_growth
2023-01-13,11.3917,11.4265
2023-01-16,11.3523,11.3871
2023-01-17,11.4526,11.4879
2023-01-18,11.5235,11.5590
2023-01-19,11.4885,11.5240
2023-01-20,11.4375,11.4729
2023-01-23,11.4949,11.5307
2023-01-24,11.4948,11.5307
2023-01-25,11.3512,11.3867
2023-01-27,11.1686,11.2036
2023-01-30,11.1964,11.2318
2023-01-31,11.2047,11.2401
2023-02-01,11.1754,11.2108
2023-02-02,11.1715,11.2069
2023-02-03,11.3257,11.3617
2023-02-06,11.2687,11.3047
2023-02-07,11.2412,11.2771
2023-02-08,11.3375,11.3739
2023-02-09,11.3512,11.3876
2023-02-10,11.3276,11.3641
2023-02-13,11.2730,11.3095
2023-02-14,11.3737,11.4106
2023-02-15,11.4357,11.4729
2023-02-16,11.4483,11.4856
2023-02-17,11.3901,11.4272
2023-02-20,11.3267,11.3638
2023-02-21,11.3152,11.3523
2023-02-22,11.1423,11.1790
2023-02-23,11.1149,11.1515
2023-02-24,11.0861,11.1226
2023-02-27,11.0394,11.0761
2023-02-28,10.9830,11.0195
2023-03-01,11.0760,11.1129
2023-03-02,10.9941,11.0307
2023-03-03,11.1667,11.2040
2023-03-06,11.2407,11.2785
2023-03-08,11.2678,11.3057
2023-03-09,11.1630,11.2007
2023-03-10,11.0507,11.0881
2023-03-13,10.8862,10.9231
2023-03-14,10.8155,10.8523
2023-03-15,10.7703,10.8069
2023-03-16,10.7788,10.8155
2023-03-17,10.8515,10.8883
2023-03-20,10.7803,10.8171
2023-03-21,10.8557,10.8929
2023-03-22,10.8838,10.9211
2023-03-23,10.8361,10.8733
2023-03-24,10.7523,10.7893
2023-03-27,10.7773,10.8152
2023-03-28,10.7554,10.7933
2023-03-29,10.8371,10.8753
2023-03-31,11.0145,11.0535
2023-04-03,11.0385,11.0778
2023-04-05,11.1392,11.1789
2023-04-06,11.1657,11.2056
2023-04-10,11.1811,11.2213
2023-04-11,11.2433,11.2838
2023-04-12,11.3004,11.3411
2023-04-13,11.3114,11.3522
2023-04-17,11.2341,11.2749
2023-04-18,11.2043,11.2451
2023-04-19,11.1778,11.2186
2023-04-20,11.1814,11.2222
2023-04-21,11.1815,11.2224
2023-04-24,11.2569,11.2983
2023-04-25,11.2732,11.3147
2023-04-26,11.3013,11.3429
2023-04-27,11.3656,11.4075
2023-04-28,11.4634,11.5057
2023-05-02,11.5155,11.5582
2023-05-03,11.4786,11.5212
2023-05-04,11.5837,11.6268
2023-05-05,11.4651,11.5079
2023-05-08,11.5887,11.6322
2023-05-09,11.5896,11.6331
2023-05-10,11.6207,11.6644
